color_name,hex,R,G,B,color_class
Air Force Blue (Raf),#5d8aa8,93,138,168,Blue
Air Force Blue (Usaf),#00308f,0,48,143,Blue
Air Superiority Blue,#72a0c1,114,160,193,Blue
Alabama Crimson,#a32638,163,38,56,Red
Alice Blue,#f0f8ff,240,248,255,Blue
Alizarin Crimson,#e32636,227,38,54,Red
Alloy Orange,#c46210,196,98,16,Orange
Almond,#efdecd,239,222,205,Orange
Amaranth,#e52b50,229,43,80,Green
Amber,#ffbf00,255,191,0,Yellow
Amber (Sae/Ece),#ff7e00,255,126,0,Orange
American Rose,#ff033e,255,3,62,Pink
Amethyst,#96c,153,102,204,Purple
Android Green,#a4c639,164,198,57,Green
Anti-Flash White,#f2f3f4,242,243,244,White
Antique Brass,#cd9575,205,149,117,Brown
Antique Fuchsia,#915c83,145,92,131,Purple
Antique Ruby,#841b2d,132,27,45,Red
Antique White,#faebd7,250,235,215,White
Ao (English),#008000,0,128,0,Green
Apple Green,#8db600,141,182,0,Green
Apricot,#fbceb1,251,206,177,Orange
Aqua,#0ff,0,255,255,Blue
Aquamarine,#7fffd4,127,255,212,Blue
Army Green,#4b5320,75,83,32,Green
Arsenic,#3b444b,59,68,75,Grey
Arylide Yellow,#e9d66b,233,214,107,Yellow
Ash Grey,#b2beb5,178,190,181,Grey
Asparagus,#87a96b,135,169,107,Green
Atomic Tangerine,#f96,255,153,102,Orange
Auburn,#a52a2a,165,42,42,Red
Aureolin,#fdee00,253,238,0,Yellow
Aurometalsaurus,#6e7f80,110,127,128,Grey
Avocado,#568203,86,130,3,Green
Azure,#007fff,0,127,255,Blue
Azure Mist/Web,#f0ffff,240,255,255,Blue
Baby Blue,#89cff0,137,207,240,Blue
Baby Blue Eyes,#a1caf1,161,202,241,Blue
Baby Pink,#f4c2c2,244,194,194,Pink
Ball Blue,#21abcd,33,171,205,Blue
Banana Mania,#fae7b5,250,231,181,Yellow
Banana Yellow,#ffe135,255,225,53,Yellow
Barn Red,#7c0a02,124,10,2,Red
Battleship Grey,#848482,132,132,130,Grey
Bazaar,#98777b,152,119,123,Purple
Beau Blue,#bcd4e6,188,212,230,Blue
Beaver,#9f8170,159,129,112,Brown
Beige,#f5f5dc,245,245,220,Yellow
Big Dip O’Ruby,#9c2542,156,37,66,Red
Bisque,#ffe4c4,255,228,196,Orange
Bistre,#3d2b1f,61,43,31,Brown
Bittersweet,#fe6f5e,254,111,94,Red
Bittersweet Shimmer,#bf4f51,191,79,81,Red
Black,#000,0,0,0,Black
Black Bean,#3d0c02,61,12,2,Brown
Black Leather Jacket,#253529,37,53,41,Green
Black Olive,#3b3c36,59,60,54,Grey
Blanched Almond,#ffebcd,255,235,205,Orange
Blast-Off Bronze,#a57164,165,113,100,Brown
Bleu De France,#318ce7,49,140,231,Blue
Blizzard Blue,#ace5ee,172,229,238,Blue
Blond,#faf0be,250,240,190,Yellow
Blue,#00f,0,0,255,Blue
Blue Bell,#a2a2d0,162,162,208,Blue
Blue (Crayola),#1f75fe,31,117,254,Blue
Blue Gray,#69c,102,153,204,Blue
Blue-Green,#0d98ba,13,152,186,Blue
Blue (Munsell),#0093af,0,147,175,Blue
Blue (Ncs),#0087bd,0,135,189,Blue
Blue (Pigment),#339,51,51,153,Blue
Blue (Ryb),#0247fe,2,71,254,Blue
Blue Sapphire,#126180,18,97,128,Blue
Blue-Violet,#8a2be2,138,43,226,Purple
Blush,#de5d83,222,93,131,Pink
Bole,#79443b,121,68,59,Pink
Bondi Blue,#0095b6,0,149,182,Blue
Bone,#e3dac9,227,218,201,Brown
Boston University Red,#c00,204,0,0,Red
Bottle Green,#006a4e,0,106,78,Green
Boysenberry,#873260,135,50,96,Purple
Brandeis Blue,#0070ff,0,112,255,Blue
Brass,#b5a642,181,166,66,Yellow
Brick Red,#cb4154,203,65,84,Red
Bright Cerulean,#1dacd6,29,172,214,Blue
Bright Green,#6f0,102,255,0,Green
Bright Lavender,#bf94e4,191,148,228,Purple
Bright Maroon,#c32148,195,33,72,Red
Bright Pink,#ff007f,255,0,127,Pink
Bright Turquoise,#08e8de,8,232,222,Blue
Bright Ube,#d19fe8,209,159,232,Purple
Brilliant Lavender,#f4bbff,244,187,255,Purple
Brilliant Rose,#ff55a3,255,85,163,Pink
Brink Pink,#fb607f,251,96,127,Pink
British Racing Green,#004225,0,66,37,Green
Bronze,#cd7f32,205,127,50,Orange
Brown (Traditional),#964b00,150,75,0,Brown
Brown (Web),#a52a2a,165,42,42,Brown
Bubble Gum,#ffc1cc,255,193,204,Pink
Bubbles,#e7feff,231,254,255,Blue
Buff,#f0dc82,240,220,130,Yellow
Bulgarian Rose,#480607,72,6,7,Red
Burgundy,#800020,128,0,32,Red
Burlywood,#deb887,222,184,135,Orange
Burnt Orange,#c50,204,85,0,Orange
Burnt Sienna,#e97451,233,116,81,Orange
Burnt Umber,#8a3324,138,51,36,Brown
Byzantine,#bd33a4,189,51,164,Purple
Byzantium,#702963,112,41,99,Purple
Cadet,#536872,83,104,114,Grey
Cadet Blue,#5f9ea0,95,158,160,Blue
Cadet Grey,#91a3b0,145,163,176,Grey
Cadmium Green,#006b3c,0,107,60,Green
Cadmium Orange,#ed872d,237,135,45,Orange
Cadmium Red,#e30022,227,0,34,Red
Cadmium Yellow,#fff600,255,246,0,Yellow
Café Au Lait,#a67b5b,166,123,91,Brown
Café Noir,#4b3621,75,54,33,Brown
Cal Poly Green,#1e4d2b,30,77,43,Green
Cambridge Blue,#a3c1ad,163,193,173,Blue
Camel,#c19a6b,193,154,107,Brown
Cameo Pink,#efbbcc,239,187,204,Pink
Camouflage Green,#78866b,120,134,107,Green
Canary Yellow,#ffef00,255,239,0,Yellow
Candy Apple Red,#ff0800,255,8,0,Red
Candy Pink,#e4717a,228,113,122,Pink
Capri,#00bfff,0,191,255,Blue
Caput Mortuum,#592720,89,39,32,Brown
Cardinal,#c41e3a,196,30,58,Red
Caribbean Green,#0c9,0,204,153,Green
Carmine,#960018,150,0,24,Red
Carmine (M&P),#d70040,215,0,64,Red
Carmine Pink,#eb4c42,235,76,66,Pink
Carmine Red,#ff0038,255,0,56,Red
Carnation Pink,#ffa6c9,255,166,201,Pink
Carnelian,#b31b1b,179,27,27,Red
Carolina Blue,#99badd,153,186,221,Blue
Carrot Orange,#ed9121,237,145,33,Orange
Catalina Blue,#062a78,6,42,120,Blue
Ceil,#92a1cf,146,161,207,Blue
Celadon,#ace1af,172,225,175,Green
Celadon Blue,#007ba7,0,123,167,Blue
Celadon Green,#2f847c,47,132,124,Green
Celeste (Colour),#b2ffff,178,255,255,Blue
Celestial Blue,#4997d0,73,151,208,Blue
Cerise,#de3163,222,49,99,Pink
Cerise Pink,#ec3b83,236,59,131,Pink
Cerulean,#007ba7,0,123,167,Blue
Cerulean Blue,#2a52be,42,82,190,Blue
Cerulean Frost,#6d9bc3,109,155,195,Blue
Cg Blue,#007aa5,0,122,165,Blue
Cg Red,#e03c31,224,60,49,Red
Chamoisee,#a0785a,160,120,90,Brown
Champagne,#fad6a5,250,214,165,Orange
Charcoal,#36454f,54,69,79,Grey
Charm Pink,#e68fac,230,143,172,Pink
Chartreuse (Traditional),#dfff00,223,255,0,Yellow
Chartreuse (Web),#7fff00,127,255,0,Green
Cherry,#de3163,222,49,99,Pink
Cherry Blossom Pink,#ffb7c5,255,183,197,Pink
Chestnut,#cd5c5c,205,92,92,Pink
China Pink,#de6fa1,222,111,161,Pink
China Rose,#a8516e,168,81,110,Pink
Chinese Red,#aa381e,170,56,30,Red
Chocolate (Traditional),#7b3f00,123,63,0,Brown
Chocolate (Web),#d2691e,210,105,30,Brown
Chrome Yellow,#ffa700,255,167,0,Yellow
Cinereous,#98817b,152,129,123,Brown
Cinnabar,#e34234,227,66,52,Orange
Cinnamon,#d2691e,210,105,30,Orange
Citrine,#e4d00a,228,208,10,Yellow
Classic Rose,#fbcce7,251,204,231,Pink
Cobalt,#0047ab,0,71,171,Blue
Cocoa Brown,#d2691e,210,105,30,Orange
Coffee,#6f4e37,111,78,55,Brown
Columbia Blue,#9bddff,155,221,255,Blue
